"","date","soe","total_arrivals"
"144",2020-11-01,"Melaka",0
"145",2020-11-01,"Negeri Sembilan",0
"146",2020-11-01,"Pahang",0
"147",2020-11-01,"Perak",15
"148",2020-11-01,"Perlis",6796
"149",2020-11-01,"Pulau Pinang",98
"150",2020-11-01,"Sabah",5
"151",2020-11-01,"Sarawak",1025
"152",2020-11-01,"Selangor",5407
"153",2020-11-01,"Terengganu",0
"154",2020-11-01,"W.P. Labuan",13
"155",2020-12-01,"Johor",947
"156",2020-12-01,"Kedah",14207
"157",2020-12-01,"Kelantan",2
"158",2020-12-01,"Melaka",10
"159",2020-12-01,"Negeri Sembilan",0
"160",2020-12-01,"Pahang",1
"161",2020-12-01,"Perak",6
"162",2020-12-01,"Perlis",8797
"163",2020-12-01,"Pulau Pinang",96
"164",2020-12-01,"Sabah",11
"165",2020-12-01,"Sarawak",853
"166",2020-12-01,"Selangor",4939
"167",2020-12-01,"Terengganu",20
"168",2020-12-01,"W.P. Labuan",8
"169",2021-01-01,"Johor",752
"170",2021-01-01,"Kedah",17928
"171",2021-01-01,"Kelantan",0
"172",2021-01-01,"Melaka",0
"173",2021-01-01,"Negeri Sembilan",0
"174",2021-01-01,"Pahang",0
"175",2021-01-01,"Perak",9
"176",2021-01-01,"Perlis",9933
"177",2021-01-01,"Pulau Pinang",91
"178",2021-01-01,"Sabah",10
"179",2021-01-01,"Sarawak",946
"180",2021-01-01,"Selangor",6179
"181",2021-01-01,"Terengganu",13
"182",2021-01-01,"W.P. Labuan",6
"183",2021-02-01,"Johor",819
"184",2021-02-01,"Kedah",16131
"185",2021-02-01,"Kelantan",3
"186",2021-02-01,"Melaka",0
"187",2021-02-01,"Negeri Sembilan",0
"188",2021-02-01,"Pahang",0
"189",2021-02-01,"Perak",6
"190",2021-02-01,"Perlis",9335
"191",2021-02-01,"Pulau Pinang",101
"192",2021-02-01,"Sabah",18
"193",2021-02-01,"Sarawak",756
"194",2021-02-01,"Selangor",6120
"195",2021-02-01,"Terengganu",11
"196",2021-02-01,"W.P. Labuan",9
"197",2021-03-01,"Johor",932
"198",2021-03-01,"Kedah",19205
"199",2021-03-01,"Kelantan",4
"200",2021-03-01,"Melaka",2
"201",2021-03-01,"Negeri Sembilan",0
"202",2021-03-01,"Pahang",1
"203",2021-03-01,"Perak",4
"204",2021-03-01,"Perlis",10974
"205",2021-03-01,"Pulau Pinang",157
"206",2021-03-01,"Sabah",18
"207",2021-03-01,"Sarawak",1087
"208",2021-03-01,"Selangor",10026
"209",2021-03-01,"Terengganu",18
"210",2021-03-01,"W.P. Labuan",6
"211",2021-04-01,"Johor",842
"212",2021-04-01,"Kedah",17851
"213",2021-04-01,"Kelantan",5
"214",2021-04-01,"Melaka",0
"215",2021-04-01,"Negeri Sembilan",0
"216",2021-04-01,"Pahang",3
"217",2021-04-01,"Perak",10
"218",2021-04-01,"Perlis",8160
"219",2021-04-01,"Pulau Pinang",109
"220",2021-04-01,"Sabah",7
"221",2021-04-01,"Sarawak",981
"222",2021-04-01,"Selangor",9902
"223",2021-04-01,"Terengganu",0
"224",2021-04-01,"W.P. Labuan",10
"225",2021-05-01,"Johor",449
"226",2021-05-01,"Kedah",18426
"227",2021-05-01,"Kelantan",1
"228",2021-05-01,"Melaka",0
"229",2021-05-01,"Negeri Sembilan",0
"230",2021-05-01,"Pahang",3
"231",2021-05-01,"Perak",9
"232",2021-05-01,"Perlis",8617
"233",2021-05-01,"Pulau Pinang",134
"234",2021-05-01,"Sabah",12
"235",2021-05-01,"Sarawak",899
"236",2021-05-01,"Selangor",6865
"237",2021-05-01,"Terengganu",4
"238",2021-05-01,"W.P. Labuan",15
"239",2021-06-01,"Johor",134
"240",2021-06-01,"Kedah",16891
"241",2021-06-01,"Kelantan",1
"242",2021-06-01,"Melaka",0
"243",2021-06-01,"Negeri Sembilan",0
"244",2021-06-01,"Pahang",0
