"","date","soe","total_arrivals"
"699",2024-02-01,"Terengganu",24
"700",2024-02-01,"W.P. Labuan",2576
"701",2024-03-01,"Johor",1882339
"702",2024-03-01,"Kedah",101507
"703",2024-03-01,"Kelantan",61724
"704",2024-03-01,"Melaka",3074
"705",2024-03-01,"Negeri Sembilan",4954
"706",2024-03-01,"Pahang",1111
"707",2024-03-01,"Perak",22246
"708",2024-03-01,"Perlis",59513
"709",2024-03-01,"Pulau Pinang",124257
"710",2024-03-01,"Sabah",50964
"711",2024-03-01,"Sarawak",214777
"712",2024-03-01,"Selangor",725189
"713",2024-03-01,"Terengganu",16
"714",2024-03-01,"W.P. Labuan",1590
"715",2024-04-01,"Johor",1637745
"716",2024-04-01,"Kedah",68372
"717",2024-04-01,"Kelantan",55767
"718",2024-04-01,"Melaka",4776
"719",2024-04-01,"Negeri Sembilan",5204
"720",2024-04-01,"Pahang",695
"721",2024-04-01,"Perak",19059
"722",2024-04-01,"Perlis",55692
"723",2024-04-01,"Pulau Pinang",85610
"724",2024-04-01,"Sabah",39348
"725",2024-04-01,"Sarawak",231503
"726",2024-04-01,"Selangor",728498
"727",2024-04-01,"Terengganu",21
"728",2024-04-01,"W.P. Labuan",1962
"729",2024-05-01,"Johor",1793130
"730",2024-05-01,"Kedah",88882
"731",2024-05-01,"Kelantan",57354
"732",2024-05-01,"Melaka",3982
"733",2024-05-01,"Negeri Sembilan",9700
"734",2024-05-01,"Pahang",1123
"735",2024-05-01,"Perak",16818
"736",2024-05-01,"Perlis",51422
"737",2024-05-01,"Pulau Pinang",99646
"738",2024-05-01,"Sabah",47592
"739",2024-05-01,"Sarawak",207635
"740",2024-05-01,"Selangor",819542
"741",2024-05-01,"Terengganu",1
"742",2024-05-01,"W.P. Labuan",2043
"743",2024-06-01,"Johor",2077267
"744",2024-06-01,"Kedah",72074
"745",2024-06-01,"Kelantan",51685
"746",2024-06-01,"Melaka",5367
"747",2024-06-01,"Negeri Sembilan",7176
"748",2024-06-01,"Pahang",1226
"749",2024-06-01,"Perak",20088
"750",2024-06-01,"Perlis",52325
"751",2024-06-01,"Pulau Pinang",112060
"752",2024-06-01,"Sabah",59708
"753",2024-06-01,"Sarawak",205241
"754",2024-06-01,"Selangor",853615
"755",2024-06-01,"Terengganu",5
"756",2024-06-01,"W.P. Labuan",1595
