"","country","total_arrival","latitude","longitude","name"
"130","MLI",331,17,-4,"Mali"
"131","MLT",1829,35.8333,14.5833,"Malta"
"132","MMR",360931,22,98,"Myanmar"
"133","MNE",564,42,19,"Montenegro"
"134","MNG",16414,46,105,"Mongolia"
"135","MNP",3,15.2,145.75,"Northern Mariana Islands"
"136","MOZ",956,-18.25,35,"Mozambique"
"137","MRT",744,20,-12,"Mauritania"
"138","MUS",41679,-20.2833,57.55,"Mauritius"
"139","MWI",662,-13.5,34,"Malawi"
"140","MYT",2,-12.8333,45.1667,"Mayotte"
"141","NAM",616,-22,17,"Namibia"
"142","NCL",2,-21.5,165.5,"New Caledonia"
"143","NER",90,16,8,"Niger"
"144","NGA",15552,10,8,"Nigeria"
"145","NIC",243,13,-85,"Nicaragua"
"146","NLD",174610,52.5,5.75,"Netherlands, Kingdom of the"
"147","NOR",30007,62,10,"Norway"
"148","NPL",449691,28,84,"Nepal"
"149","NRU",102,-0.5333,166.9167,"Nauru"
"150","NZL",113255,-41,174,"New Zealand"
"151","OMN",39478,21,57,"Oman"
"152","PAK",355369,30,70,"Pakistan"
"153","PAN",947,9,-80,"Panama"
"154","PER",4860,-10,-76,"Peru"
"155","PHL",1147669,13,122,"Philippines"
"156","PLW",57,7.5,134.5,"Palau"
"157","PNG",2519,-6,147,"Papua New Guinea"
"158","POL",61737,52,20,"Poland"
"159","PRI",1,18.25,-66.5,"Puerto Rico"
"160","PRK",9,40,127,"Korea, Democratic People's Republic of"
"161","PRT",27939,39.5,-8,"Portugal"
"162","PRY",463,-23,-58,"Paraguay"
"163","PSE",10249,32,35.25,"Palestine, State of"
"164","QAT",5388,25.5,51.25,"Qatar"
"165","REU",2,-21.1,55.6,"Réunion"
"166","ROU",25980,46,25,"Romania"
"167","RUS",281242,60,100,"Russian Federation"
"168","RWA",297,-2,30,"Rwanda"
"169","SAU",151906,25,45,"Saudi Arabia"
"170","SDN",30589,15,30,"Sudan"
"171","SEN",1799,14,-14,"Senegal"
"172","SGP",34496707,1.3667,103.8,"Singapore"
"173","SGS",7,-54.5,-37,"South Georgia and the South Sandwich Islands"
"174","SHN",2,-15.9333,-5.7,"Saint Helena, Ascension and Tristan da Cunha"
"175","SLB",459,-8,159,"Solomon Islands"
"176","SLE",739,8.5,-11.5,"Sierra Leone"
"177","SLV",519,13.8333,-88.9167,"El Salvador"
"178","SMR",81,43.7667,12.4167,"San Marino"
"179","SOM",7257,10,49,"Somalia"
"180","SPM",1,46.8333,-56.3333,"Saint Pierre and Miquelon"
"181","SRB",2946,44,21,"Serbia"
"182","SSD",972,8,30,"South Sudan"
"183","STP",48,1,7,"Sao Tome and Principe"
"184","SUR",616,4,-56,"Suriname"
