"","country","total_arrivals","gender","arrivals"
"186","FJI",5371,"Female",2609
"187","PER",4860,"Male",2529
"188","PER",4860,"Female",2331
"189","ZWE",4687,"Male",2233
"190","ZWE",4687,"Female",2454
"191","UGA",4255,"Male",1949
"192","UGA",4255,"Female",2306
"193","AZE",3931,"Male",2155
"194","AZE",3931,"Female",1776
"195","TJK",3545,"Male",2474
"196","TJK",3545,"Female",1071
"197","VUT",2970,"Male",2394
"198","VUT",2970,"Female",576
"199","SRB",2946,"Male",1620
"200","SRB",2946,"Female",1326
"201","VEN",2871,"Male",1608
"202","VEN",2871,"Female",1263
"203","URY",2769,"Male",1284
"204","URY",2769,"Female",1485
"205","AFG",2750,"Male",2068
"206","AFG",2750,"Female",682
"207","SYC",2595,"Male",1074
"208","SYC",2595,"Female",1521
"209","GHA",2582,"Male",1763
"210","GHA",2582,"Female",819
"211","PNG",2519,"Male",1446
"212","PNG",2519,"Female",1073
"213","CYP",2345,"Male",1495
"214","CYP",2345,"Female",850
"215","KNA",2330,"Male",1695
"216","KNA",2330,"Female",635
"217","ECU",2318,"Male",1145
"218","ECU",2318,"Female",1173
"219","CRI",2269,"Male",1300
"220","CRI",2269,"Female",969
"221","ZMB",2169,"Male",1152
"222","ZMB",2169,"Female",1017
"223","MDG",2161,"Male",936
"224","MDG",2161,"Female",1225
"225","ARM",2158,"Male",915
"226","ARM",2158,"Female",1243
"227","BIH",2041,"Male",1208
"228","BIH",2041,"Female",833
"229","GEO",1936,"Male",1227
"230","GEO",1936,"Female",709
"231","LUX",1870,"Male",1118
"232","LUX",1870,"Female",752
"233","MLT",1829,"Male",1125
"234","MLT",1829,"Female",704
"235","SEN",1799,"Male",1285
"236","SEN",1799,"Female",514
"237","GIN",1748,"Male",1279
"238","GIN",1748,"Female",469
"239","BTN",1730,"Male",1118
"240","BTN",1730,"Female",612
"241","ALB",1549,"Male",968
"242","ALB",1549,"Female",581
"243","ISL",1437,"Male",785
"244","ISL",1437,"Female",652
"245","DMA",1366,"Male",1054
"246","DMA",1366,"Female",312
"247","MKD",1332,"Male",724
"248","MKD",1332,"Female",608
"249","ETH",1201,"Male",770
"250","ETH",1201,"Female",431
"251","TTO",1158,"Male",668
"252","TTO",1158,"Female",490
"253","MDA",1083,"Male",547
"254","MDA",1083,"Female",536
"255","BOL",1050,"Male",575
"256","BOL",1050,"Female",475
"257","SSD",972,"Male",639
"258","SSD",972,"Female",333
"259","MOZ",956,"Male",510
"260","MOZ",956,"Female",446
"261","PAN",947,"Male",460
"262","PAN",947,"Female",487
"263","CUB",856,"Male",495
"264","CUB",856,"Female",361
"265","CMR",844,"Male",579
"266","CMR",844,"Female",265
"267","GMB",844,"Male",613
"268","GMB",844,"Female",231
"269","GTM",827,"Male",462
"270","GTM",827,"Female",365
"271","TCD",770,"Male",607
"272","TCD",770,"Female",163
"273","MRT",744,"Male",604
"274","MRT",744,"Female",140
"275","SLE",739,"Male",487
"276","SLE",739,"Female",252
"277","JAM",717,"Male",298
"278","JAM",717,"Female",419
"279","DOM",712,"Male",367
"280","DOM",712,"Female",345
"281","CIV",685,"Male",482
"282","CIV",685,"Female",203
"283","MWI",662,"Male",369
"284","MWI",662,"Female",293
"285","NAM",616,"Male",296
"286","NAM",616,"Female",320
"287","SUR",616,"Male",366
"288","SUR",616,"Female",250
"289","HND",615,"Male",371
"290","HND",615,"Female",244
"291","ATG",578,"Male",373
"292","ATG",578,"Female",205
"293","SWZ",567,"Male",266
"294","SWZ",567,"Female",301
"295","MNE",564,"Male",459
"296","MNE",564,"Female",105
"297","COM",547,"Male",323
"298","COM",547,"Female",224
"299","ERI",538,"Male",305
"300","ERI",538,"Female",233
"301","GRD",525,"Male",361
"302","GRD",525,"Female",164
"303","SLV",519,"Male",279
"304","SLV",519,"Female",240
"305","BWA",518,"Male",233
"306","BWA",518,"Female",285
"307","LCA",478,"Male",358
"308","LCA",478,"Female",120
"309","PRY",463,"Male",247
"310","PRY",463,"Female",216
"311","SLB",459,"Male",235
"312","SLB",459,"Female",224
"313","DJI",438,"Male",249
"314","DJI",438,"Female",189
"315","COD",430,"Male",304
"316","COD",430,"Female",126
"317","TON",424,"Male",206
"318","TON",424,"Female",218
"319","MLI",331,"Male",256
"320","MLI",331,"Female",75
"321","BEN",319,"Male",228
"322","BEN",319,"Female",91
"323","RWA",297,"Male",168
"324","RWA",297,"Female",129
"325","LBR",288,"Male",235
"326","LBR",288,"Female",53
"327","GAB",287,"Male",172
"328","GAB",287,"Female",115
"329","BLZ",277,"Male",146
"330","BLZ",277,"Female",131
"331","TGO",262,"Male",208
"332","TGO",262,"Female",54
"333","NIC",243,"Male",123
"334","NIC",243,"Female",120
"335","LIE",241,"Male",156
"336","LIE",241,"Female",85
"337","BHS",240,"Male",123
"338","BHS",240,"Female",117
"339","HTI",240,"Male",167
"340","HTI",240,"Female",73
"341","BRB",231,"Male",107
"342","BRB",231,"Female",124
"343","BFA",209,"Male",181
"344","BFA",209,"Female",28
"345","GUY",197,"Male",117
"346","GUY",197,"Female",80
"347","AND",194,"Male",110
"348","AND",194,"Female",84
"349","LSO",174,"Male",78
"350","LSO",174,"Female",96
"351","AGO",169,"Male",121
"352","AGO",169,"Female",48
"353","BDI",157,"Male",79
"354","BDI",157,"Female",78
"355","MAC",132,"Male",63
"356","MAC",132,"Female",69
"357","KIR",116,"Male",98
"358","KIR",116,"Female",18
"359","WSM",113,"Male",52
"360","WSM",113,"Female",61
"361","MHL",111,"Male",82
"362","MHL",111,"Female",29
"363","MCO",103,"Male",59
"364","MCO",103,"Female",44
"365","NRU",102,"Male",69
"366","NRU",102,"Female",33
"367","COG",96,"Male",70
"368","COG",96,"Female",26
"369","NER",90,"Male",60
"370","NER",90,"Female",30
"371","CPV",84,"Male",44
"372","CPV",84,"Female",40
"373","SMR",81,"Male",56
"374","SMR",81,"Female",25
"375","VCT",75,"Male",47
"376","VCT",75,"Female",28
"377","GNQ",62,"Male",35
"378","GNQ",62,"Female",27
"379","PLW",57,"Male",42
"380","PLW",57,"Female",15
"381","STP",48,"Male",31
"382","STP",48,"Female",17
"383","VAT",34,"Male",32
"384","VAT",34,"Female",2
"385","FSM",29,"Male",15
"386","FSM",29,"Female",14
"387","GNB",26,"Male",23
"388","GNB",26,"Female",3
"389","ZAR",23,"Male",11
"390","ZAR",23,"Female",12
"391","ISR",16,"Male",13
"392","ISR",16,"Female",3
"393","TUV",14,"Male",7
